,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s2,4 457 682 896 133 1735 52,0.0 1.0 1.0 1.0 0.0 1.0 1.0,111011.0,0,29067,4 457 682 896 133 1735 52,0.0 1.0 1.0 1.0 0.0 1.0 1.0,111011.0,0,29067,4 452 665 885 136 1716 51,0.0 0.0 0.0 0.0 1.0 0.0 0.0,100.0,0,29434
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s7,0 0 0 0 0 132 -87,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,133,0 0 0 0 0 132 -87,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,133,0 0 0 0 0 132 -87,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,133
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n40-d28-r0.10-rp2-fp2-s6,0 3 0 0 0 314 -97,0.0 0.0 0.0 0.0 0.0 0.0 0.5,0.5,0,28908,0 3 0 0 0 314 -96,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,28907,0 3 0 0 0 314 -98,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,28909
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n50-d28-r0.10-rp2-fp2-s5,0 0 2 0 0 450 -148,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,12397,0 0 2 0 0 450 -148,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,12397,0 0 2 0 0 450 -148,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,12397
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n20-d28-r0.10-rp2-fp2-s2,0 0 10 0 0 105 -32,0.0 0.0 0.0 0.0 0.0 1.0 0.9285714285714286,10.928571428571429,0,21905,0 0 10 0 0 105 -31,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,21904,0 0 10 0 0 104 -45,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,21908
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n20-d28-r0.10-rp2-fp2-s3,0 0 0 0 0 98 -41,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,118,0 0 0 0 0 98 -41,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,118,0 0 0 0 0 98 -41,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,118
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n20-d28-r0.10-rp2-fp2-s5,0 1 67 141 29 959 23,0.0 0.0 0.057692307692307696 0.711864406779661 0.0851063829787234 0.9792746113989638 0.0,1307.0908681146,0,88917,0 1 64 57 25 770 31,0.0 0.0 0.0 0.0 0.0 0.0 0.38095238095238093,0.38095238095238093,0,93506,0 1 116 175 72 963 44,0.0 0.0 1.0 1.0 1.0 1.0 1.0,11111.0,0,74889
resolved-c28d-comp-ps/resolved-c28d-3600-1st/nsp-n30-d28-r0.10-rp2-fp2-s0,0 2 2 0 0 165 -53,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,46605,0 2 2 0 0 165 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,46606,0 2 2 0 0 165 -54,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,46606
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147,0 0 0 0 0 150 -96,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,145,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,147
resolved-c28d-comp-ps/resolved-c28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s8,0 428 2054 1441 240 3875 22,0.0 0.0 1.0 0.0 0.0 1.0 0.0,10010.0,0,14171,0 432 2051 1443 244 3836 27,0.0 1.0 0.0 1.0 1.0 0.0 1.0,101101.0,0,14075,0 428 2054 1441 240 3875 22,0.0 0.0 1.0 0.0 0.0 1.0 0.0,10010.0,0,14171
