,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s4,4 12 481 2533 4 1864 24,1.0 1.0 1.0 1.0 0.0 1.0 0.0,1111010.0,0.5821428571428572,14813,0 1 375 463 31 1350 50,0.0 0.0 0.0 0.0 1.0 0.0 0.5909090909090909,100.5909090909091,0.7392857142857143,15273,1 5 479 840 26 1437 68,0.25 0.36363636363636365 0.9811320754716981 0.1821256038647343 0.8148148148148148 0.16926070038910507 1.0,296441.25681070343,0.5857142857142857,14437
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s3,10 33 804 2297 23 2750 125,1.0 1.0 0.5681818181818182 0.5108695652173914 1.0 0.44559585492227977 0.125,1106297.2687055846,0.6785714285714286,9415,4 4 729 1639 18 2578 124,0.0 0.0 0.0 0.0 0.6428571428571429 0.0 0.0,64.28571428571429,0.7238095238095238,8287,5 9 861 2927 9 2964 132,0.16666666666666666 0.1724137931034483 1.0 1.0 0.0 1.0 1.0,194919.0459770115,0.7285714285714285,6596
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s2,21 303 2414 1738 318 3498 14,1.0 0.0 1.0 1.0 1.0 1.0 0.0,1011110.0,0.008928571428571428,2469,12 400 2159 1128 191 2935 84,0.1 0.7238805970149254 0.39858490566037735 0.0 0.2824858757062147 0.42551020408163265 1.0,176407.41244770776,0.8071428571428572,4806,11 437 1990 1367 141 2518 50,0.0 1.0 0.0 0.3918032786885246 0.0 0.0 0.5142857142857142,100392.31756440282,0.8142857142857143,3282
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s7,0 0 0 0 0 387 -46,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.19523809523809524,170,0 0 0 0 0 150 -65,0.0 0.0 0.0 0.0 0.0 0.028688524590163935 0.5476190476190477,0.834504293520687,0.6285714285714286,82,0 0 0 0 0 143 -88,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.05714285714285714,383
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s6,8 26 1882 6537 9 5911 55,1.0 0.05128205128205128 1.0 1.0 0.0 1.0 0.0,1016138.2051282051,0.6196428571428572,5323,7 63 1294 3251 23 4316 102,0.75 1.0 0.008431703204047217 0.24908592321755027 0.3888888888888889 0.0 1.0,850373.2918441469,0.7035714285714286,7175,4 24 1289 2161 45 4573 68,0.0 0.0 0.0 0.0 1.0 0.16112852664576802 0.2765957446808511,101.88788101113853,0.6678571428571428,6772
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s5,25 81 1174 729 15 3854 52,1.0 1.0 0.0 0.0 0.5454545454545454 0.0 0.32335329341317365,1100054.8688078388,0.018571428571428572,3365,0 0 2267 4709 25 7674 165,0.0 0.0 0.5170293282876064 0.4189473684210526 1.0 0.6997618611467302 1.0,5697.238269908584,0.6514285714285715,1282,0 0 3288 10229 3 9313 -2,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0.6357142857142857,2310
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s2,7 0 6 0 0 90 -32,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0.010714285714285714,7185,0 0 35 55 4 406 28,0.0 0.0 0.2457627118644068 0.2644230769230769 0.3076923076923077 0.5064102564102564 1.0,2758.8835289004787,0.5964285714285714,8370,0 0 124 208 13 714 6,0.0 0.0 1.0 1.0 1.0 1.0 0.6333333333333333,11110.633333333333,0.5142857142857142,8697
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s3,0 0 0 0 0 104 -41,0.0 0.0 0.0 0.0 0.0 0.0 0.5714285714285714,0.5714285714285714,0.075,423,0 0 0 0 0 115 -38,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.6071428571428571,110,0 0 0 0 0 107 -45,0.0 0.0 0.0 0.0 0.0 0.2727272727272727 0.0,2.727272727272727,0.075,460
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s5,5 65 577 299 57 1455 103,1.0 1.0 1.0 0.19581056466302368 1.0 0.9879638916750251 1.0,1110306.6902035798,0.5285714285714286,15342,0 3 262 84 4 470 16,0.0 0.03125 0.0 0.0 0.03636363636363636 0.0 0.0,3128.6363636363635,0.7285714285714285,14115,2 1 353 1182 2 1467 69,0.4 0.0 0.28888888888888886 1.0 0.0 1.0 0.6091954022988506,403899.4980842912,0.5821428571428572,15916
resolved-p14d-c14d-comp-ps/resolved-c14d-p14d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s0,7 18 839 1933 18 2759 57,1.0 1.0 0.12222222222222222 0.0 1.0 0.0 0.47619047619047616,1101322.6984126985,0.5785714285714286,8241,2 7 806 4034 7 2934 68,0.0 0.0 0.0 0.6555382215288612 0.3125 0.3234750462107209 1.0,691.0229719909684,0.6523809523809524,7477,3 7 1076 5138 2 3300 47,0.2 0.0 1.0 1.0 0.0 1.0 0.0,211010.0,0.6214285714285714,10245
