,mp-ps-p-hi-org-obj,mp-ps-p-hi-nrm-obj,mp-ps-p-hi-obj,mp-ps-p-hi-diff,mp-ps-p-hi-freq,mp-ps-p-low-org-obj,mp-ps-p-low-nrm-obj,mp-ps-p-low-obj,mp-ps-p-low-diff,mp-ps-p-low-freq,mp-ps-p-mid-org-obj,mp-ps-p-mid-nrm-obj,mp-ps-p-mid-obj,mp-ps-p-mid-diff,mp-ps-p-mid-freq
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s1,15 263 1655 1159 179 4043 36,1.0 1.0 1.0 1.0 1.0 1.0 1.0,1111111.0,0.4973214285714286,29532,0 2 295 318 66 2243 -8,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6651785714285714,35483,0 54 1163 440 122 3939 25,0.0 0.19923371647509577 0.638235294117647 0.1450653983353151 0.49557522123893805 0.9422222222222222 0.75,26510.51973136748,0.6383928571428571,36892
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s3,0 0 0 0 0 184 -25,0.0 0.0 0.0 0.0 0.0 0.8867924528301887 0.3333333333333333,9.201257861635222,0.4035714285714286,23,0 0 0 0 0 90 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0.6107142857142858,178,0 0 0 0 0 196 -26,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.4142857142857143,14
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s5,7 2 5 10 0 106 -37,1.0 1.0 1.0 1.0 0.0 0.0 0.0,1111000.0,0.017857142857142856,340,0 0 2 0 0 130 -25,0.0 0.0 0.0 0.0 0.0 0.24242424242424243 0.6666666666666666,3.090909090909091,0.6678571428571428,6366,0 0 2 0 0 205 -19,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.5285714285714286,4593
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s9,0 0 0 0 0 298 -8,0.0 0.0 0.0 0.0 0.0 0.87109375 0.75,9.4609375,0.5035714285714286,48,0 0 0 0 0 75 -32,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6517857142857143,161,0 0 0 0 0 331 0,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.4928571428571429,61
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s7,29 418 2500 1102 183 5210 150,1.0 1.0 1.0 0.0 1.0 0.0 1.0,1110101.0,0.6921428571428572,15114,2 104 1929 1141 150 5674 113,0.03571428571428571 0.057057057057057055 0.09220985691573927 0.2727272727272727 0.5074626865671642 1.0 0.0,42675.563530532796,0.7778571428571428,21871,1 85 1871 1245 116 5613 115,0.0 0.0 0.0 1.0 0.0 0.8685344827586207 0.05405405405405406,1008.7393988816402,0.7621428571428571,30529
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s4,9 102 997 720 151 3066 41,1.0 1.0 1.0 1.0 1.0 1.0 0.375,1111110.375,0.5238095238095238,38211,0 2 125 172 23 1547 38,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6857142857142857,44147,0 69 790 519 130 2436 46,0.0 0.67 0.7626146788990825 0.6332116788321168 0.8359375 0.5852534562211982 1.0,75349.80475238516,0.7011904761904761,47773
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s1,27 13 2 22 0 387 -155,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.013571428571428571,1767,0 0 2 119 4 1758 5,0.0 0.0 0.0 1.0 1.0 1.0 1.0,1111.0,0.7257142857142858,7918,0 0 2 24 1 1390 -76,0.0 0.0 0.0 0.020618556701030927 0.25 0.7315827862873815 0.49375,53.42813456390474,0.5828571428571429,9225
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s7,0 0 0 0 0 335 -36,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.44821428571428573,14,0 0 0 0 0 64 -57,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6446428571428572,151,0 0 0 0 0 322 -39,0.0 0.0 0.0 0.0 0.0 0.9520295202952029 0.8571428571428571,10.377438060094887,0.425,42
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s0,4 6 1 15 0 79 -28,1.0 1.0 1.0 1.0 0.0 0.0 0.0,1111000.0,0.025,359,0 1 0 0 0 95 -16,0.0 0.0 0.0 0.0 0.0 0.11940298507462686 1.0,2.1940298507462686,0.7321428571428571,26193,0 1 0 0 0 213 -24,0.0 0.0 0.0 0.0 0.0 1.0 0.3333333333333333,10.333333333333334,0.525,28154
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n40-d28-r0.10-rp2-fp2-s3,19 13 0 21 0 272 -95,1.0 1.0 0.0 0.0 0.0 0.0 0.0,1100000.0,0.01607142857142857,1387,0 0 210 325 45 1987 36,0.0 0.0 1.0 0.9559748427672956 0.8490566037735849 1.0 1.0,11051.880503144654,0.675,14776,0 0 13 339 53 1431 -17,0.0 0.0 0.06190476190476191 1.0 1.0 0.675801749271137 0.5954198473282443,1726.4010563876586,0.6785714285714286,12735
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n30-d28-r0.10-rp2-fp2-s1,19 7 7 172 47 954 -8,1.0 1.0 0.0 1.0 1.0 1.0 0.0,1101110.0,0.013095238095238096,1075,0 0 17 119 6 681 -2,0.0 0.0 0.7142857142857143 0.0 0.0 0.0 0.16216216216216217,7143.019305019306,0.65,19251,0 0 21 147 31 791 29,0.0 0.0 1.0 0.5283018867924528 0.6097560975609756 0.40293040293040294 1.0,10594.306800577853,0.65,20128
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s6,8 17 260 189 56 1686 19,1.0 1.0 1.0 1.0 1.0 1.0 1.0,1111111.0,0.3821428571428571,73911,0 0 2 6 0 109 -56,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6803571428571429,53415,0 1 31 60 4 393 -18,0.0 0.058823529411764705 0.1124031007751938 0.29508196721311475 0.07142857142857142 0.18008877615726063 0.5066666666666667,7310.91632771262,0.6803571428571429,74102
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s8,13 3 297 224 120 1781 46,1.0 0.2857142857142857 0.6636363636363637 0.6292834890965732 0.7727272727272727 1.0 1.0,1035925.3484241614,0.008928571428571428,796,0 8 445 343 155 1679 37,0.0 1.0 1.0 1.0 1.0 0.9284210526315789 0.4,111109.6842105263,0.7303571428571428,60507,0 1 5 22 1 356 31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.6553571428571429,59499
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s2,0 0 0 0 0 198 -28,0.0 0.0 0.0 0.0 0.0 0.9913793103448276 0.75,10.663793103448276,0.42857142857142855,15,0 0 0 0 0 83 -40,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0.7214285714285714,167,0 0 0 0 0 199 -24,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0.42857142857142855,15
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n50-d28-r0.10-rp2-fp2-s2,13 251 2960 955 153 6682 216,1.0 1.0 1.0 1.0 1.0 0.7718446601941747 1.0,1111108.7184466019,0.5871428571428572,23399,0 7 1524 878 74 5728 96,0.0 0.016129032258064516 0.0 0.6467889908256881 0.0 0.0 0.0,2259.6922166321397,0.7321428571428571,26561,0 3 1853 737 141 6964 106,0.0 0.0 0.22910863509749305 0.0 0.8481012658227848 1.0 0.08333333333333333,2385.9798108905425,0.715,27500
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n10-d28-r0.10-rp0-fp0-s7,0 0 0 0 0 186 -19,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0.45714285714285713,10,0 0 0 0 0 91 -18,0.0 0.0 0.0 0.0 0.0 0.0 0.3333333333333333,0.3333333333333333,0.6607142857142857,142,0 0 0 0 0 170 -16,0.0 0.0 0.0 0.0 0.0 0.8315789473684211 1.0,9.31578947368421,0.44642857142857145,17
resolved-p28d-comp-ps/resolved-p28d-3600-3rd/nsp-n20-d28-r0.10-rp2-fp2-s1,16 2 0 9 0 64 -67,1.0 0.0 0.0 0.0 0.0 0.0 0.0,1000000.0,0.0125,724,0 7 383 273 120 1806 37,0.0 0.2631578947368421 0.8906976744186047 0.9263157894736842 1.0 1.0 1.0,36260.082007343946,0.7696428571428572,40969,0 21 430 294 116 1609 29,0.0 1.0 1.0 1.0 0.9666666666666667 0.8869115958668198 0.9230769230769231,111106.45885954842,0.7660714285714286,62381
